ReturnID,SaleID,ReturnDate,Reason,RefundAmount
RET000131,SAL058376,2022-11-29,Customer Changed Mind,4804.13
RET000132,SAL110329,2019-11-29,Customer Changed Mind,1738.35
RET000133,SAL150538,2019-12-21,Customer Changed Mind,1239.81
RET000134,SAL064661,2022-12-03,Late Delivery,1221.12
RET000135,SAL181349,2024-03-30,Late Delivery,4189.52
RET000136,SAL138452,2020-05-02,Late Delivery,3641.8
RET000137,SAL117079,2017-06-13,Defective,4749.85
RET000138,SAL034392,2019-08-25,Late Delivery,676.52
RET000139,SAL193816,2024-09-07,Late Delivery,1211.98
RET000140,SAL034890,2020-09-18,Customer Changed Mind,2597.12
RET000141,SAL182841,2023-01-13,Late Delivery,7389.83
RET000142,SAL197405,2017-07-26,Defective,338.47
RET000143,SAL145821,2021-11-15,Wrong Item,3881.41
RET000144,SAL099176,2019-03-25,Defective,1522.23
RET000145,SAL027703,2018-08-11,Late Delivery,827.15
RET000146,SAL110156,2022-03-21,Customer Changed Mind,8344.13
RET000147,SAL086898,2022-01-14,Wrong Item,1849.5
RET000148,SAL055811,2022-06-23,Late Delivery,1151.18
RET000149,SAL130549,2017-08-25,Defective,289.82
RET000150,SAL118881,2019-03-05,Late Delivery,3774.91
RET000151,SAL097290,2019-02-22,Late Delivery,2312.4
RET000152,SAL017025,2021-08-12,Customer Changed Mind,3992.17
RET000153,SAL165764,2018-10-13,Customer Changed Mind,3061.82
RET000154,SAL109892,2020-04-07,Customer Changed Mind,2649.68
RET000155,SAL165534,2017-11-17,Customer Changed Mind,1854.65
RET000156,SAL027391,2019-10-08,Wrong Item,1326.52
RET000157,SAL160742,2018-04-11,Defective,3559.18
RET000158,SAL082629,2017-12-08,Defective,3266.76
RET000159,SAL180796,2020-12-20,Defective,563.48
RET000160,SAL088722,2020-07-31,Late Delivery,4256.21
RET000161,SAL010352,2019-01-19,Late Delivery,949.44
RET000162,SAL151033,2017-04-21,Customer Changed Mind,6634.97
RET000163,SAL004685,2018-11-02,Wrong Item,1412.03
RET000164,SAL067760,2022-07-19,Late Delivery,4071.81
RET000165,SAL123705,2020-07-31,Defective,3236.25
RET000166,SAL073579,2021-09-02,Defective,1127.03
RET000167,SAL033302,2018-12-30,Late Delivery,861.8
RET000168,SAL016868,2019-09-29,Defective,3668.31
RET000169,SAL027220,2022-04-27,Defective,4217.29
RET000170,SAL157445,2022-11-24,Defective,6529.49
RET000171,SAL153343,2022-08-01,Late Delivery,4874.72
RET000172,SAL142073,2022-10-23,Defective,3704.69
RET000173,SAL173888,2021-05-25,Defective,4550.92
RET000174,SAL032152,2021-12-17,Wrong Item,6159.06
RET000175,SAL084179,2019-07-01,Wrong Item,619.94
RET000176,SAL093625,2017-08-19,Defective,2935.36
RET000177,SAL171562,2024-10-29,Late Delivery,1061.2
RET000178,SAL139093,2019-06-18,Defective,585.3
RET000179,SAL057474,2024-08-20,Customer Changed Mind,273.22
RET000180,SAL174785,2018-08-26,Customer Changed Mind,7738.84
RET000181,SAL047652,2022-09-05,Defective,4245.38
RET000182,SAL149760,2021-02-24,Late Delivery,2267.22
RET000183,SAL035463,2017-06-28,Customer Changed Mind,2787.8
RET000184,SAL022154,2018-12-17,Defective,2196.58
RET000185,SAL081529,2024-03-12,Late Delivery,2103.96
RET000186,SAL040319,2022-05-05,Late Delivery,9376.21
RET000187,SAL069840,2023-01-31,Wrong Item,3292.72
RET000188,SAL191276,2024-10-11,Defective,5990.19
RET000189,SAL020196,2021-03-07,Defective,9574.19
RET000190,SAL112393,2023-12-12,Late Delivery,4857.23
RET000191,SAL130305,2020-01-25,Defective,2067.65
RET000192,SAL084502,2020-03-19,Defective,2139.22
RET000193,SAL023317,2021-03-11,Defective,2223.67
RET000194,SAL133305,2018-04-21,Wrong Item,8816.83
RET000195,SAL051541,2022-03-31,Defective,2938.76
RET000196,SAL144121,2024-01-23,Late Delivery,6266.69
RET000197,SAL115937,2023-08-17,Defective,138.87
RET000198,SAL156146,2020-03-07,Late Delivery,3983.35
RET000199,SAL070951,2018-03-06,Late Delivery,3659.94
RET000200,SAL017790,2019-09-27,Late Delivery,84.56
RET000201,SAL194278,2020-06-06,Customer Changed Mind,2032.33
RET000202,SAL122057,2019-10-25,Defective,6204.45
RET000203,SAL081139,2023-01-08,Wrong Item,9698.71
RET000204,SAL199300,2019-10-19,Defective,1180.39
RET000205,SAL190661,2018-01-04,Late Delivery,1315.44
RET000206,SAL033337,2021-09-29,Defective,7303.09
RET000207,SAL072042,2022-09-20,Customer Changed Mind,2396.46
RET000208,SAL046024,2020-03-07,Customer Changed Mind,1176.93
RET000209,SAL039454,2019-02-25,Defective,5455.68
RET000210,SAL101324,2018-01-24,Late Delivery,843.67
RET000211,SAL182110,2018-04-11,Wrong Item,928.85
RET000212,SAL042275,2023-05-16,Wrong Item,4398.69
RET000213,SAL058929,2019-07-13,Customer Changed Mind,3365.7
RET000214,SAL060294,2020-02-12,Customer Changed Mind,5743.07
RET000215,SAL140396,2023-05-13,Late Delivery,1304.68
RET000216,SAL144670,2019-12-31,Defective,3859.15
RET000217,SAL028227,2018-11-20,Wrong Item,3266.61
RET000218,SAL137279,2020-06-08,Customer Changed Mind,3920.25
RET000219,SAL031565,2023-02-28,Wrong Item,1935.05
RET000220,SAL109638,2021-02-27,Wrong Item,2621.44
RET000221,SAL098444,2023-03-17,Late Delivery,6131.0
RET000222,SAL132798,2018-09-14,Late Delivery,681.63
RET000223,SAL161579,2018-08-01,Late Delivery,526.44
RET000224,SAL112460,2024-05-02,Customer Changed Mind,269.32
RET000225,SAL139909,2019-01-01,Wrong Item,1769.13
RET000226,SAL101186,2024-05-22,Customer Changed Mind,599.02
RET000227,SAL159512,2020-05-27,Customer Changed Mind,2151.47
RET000228,SAL157739,2019-02-09,Wrong Item,1481.82
RET000229,SAL011777,2023-01-02,Wrong Item,6708.64
RET000230,SAL005089,2019-07-26,Customer Changed Mind,8629.17
RET000231,SAL120530,2024-05-31,Customer Changed Mind,3803.43
RET000232,SAL122501,2023-09-30,Customer Changed Mind,6273.18
RET000233,SAL089414,2021-08-23,Wrong Item,1979.16
RET000234,SAL105038,2021-09-11,Late Delivery,5331.37
RET000235,SAL182526,2023-05-07,Defective,1804.71
RET000236,SAL066212,2021-11-27,Customer Changed Mind,1380.86
RET000237,SAL118114,2022-09-04,Defective,9869.25
RET000238,SAL195386,2024-07-29,Defective,809.99
RET000239,SAL173274,2022-04-09,Defective,8432.54
RET000240,SAL117581,2017-11-10,Customer Changed Mind,1350.18
RET000241,SAL099092,2020-07-06,Defective,1161.53
RET000242,SAL022659,2023-08-10,Customer Changed Mind,8798.85
RET000243,SAL098556,2018-09-09,Late Delivery,8062.2
RET000244,SAL052888,2020-04-10,Defective,730.73
RET000245,SAL184403,2022-07-16,Late Delivery,4082.92
RET000246,SAL094922,2021-02-26,Late Delivery,1544.68
RET000247,SAL118702,2024-04-03,Wrong Item,3223.89
RET000248,SAL118515,2018-09-12,Customer Changed Mind,5936.76
RET000249,SAL066263,2023-01-07,Defective,1818.58
RET000250,SAL013041,2023-12-02,Customer Changed Mind,1087.12
RET000251,SAL133264,2018-08-08,Wrong Item,492.9
RET000252,SAL173287,2018-04-11,Wrong Item,3523.03
RET000253,SAL035858,2021-08-12,Wrong Item,3597.08
RET000254,SAL061439,2019-09-24,Wrong Item,3242.58
RET000255,SAL067115,2019-02-18,Defective,5453.59
RET000256,SAL025622,2017-04-13,Customer Changed Mind,7506.45
RET000257,SAL014707,2020-10-14,Late Delivery,1044.45
RET000258,SAL023340,2022-11-12,Defective,4479.5
RET000259,SAL017158,2022-02-04,Defective,905.64
RET000260,SAL141384,2023-07-31,Wrong Item,4311.12
RET000261,SAL143235,2017-09-19,Late Delivery,3173.2
RET000262,SAL017093,2019-01-09,Late Delivery,3213.51
RET000263,SAL120788,2023-06-10,Defective,971.91
RET000264,SAL094229,2023-04-08,Defective,497.93
RET000265,SAL099607,2023-08-10,Defective,6913.23
RET000266,SAL149338,2022-10-09,Customer Changed Mind,3317.12
RET000267,SAL091477,2018-07-12,Defective,2807.71
RET000268,SAL039792,2017-01-23,Customer Changed Mind,293.23
RET000269,SAL099524,2022-01-13,Defective,6945.9
RET000270,SAL173125,2018-05-04,Customer Changed Mind,2432.13
RET000271,SAL063064,2024-08-13,Late Delivery,3666.93
RET000272,SAL068197,2020-03-22,Late Delivery,1623.88
RET000273,SAL046322,2018-08-23,Wrong Item,3763.65
RET000274,SAL078626,2019-11-07,Wrong Item,2257.33
RET000275,SAL062186,2020-03-31,Late Delivery,5237.67
RET000276,SAL137827,2018-01-22,Customer Changed Mind,3648.82
RET000277,SAL062392,2017-04-26,Wrong Item,6600.98
RET000278,SAL147683,2022-06-20,Customer Changed Mind,3143.2
RET000279,SAL109106,2021-07-26,Defective,7003.05
RET000280,SAL075905,2019-04-13,Wrong Item,2129.77
RET000281,SAL154197,2017-12-02,Customer Changed Mind,6780.1
RET000282,SAL003292,2022-02-08,Customer Changed Mind,779.74
RET000283,SAL021254,2018-08-31,Defective,2826.95
RET000284,SAL067009,2017-02-28,Late Delivery,1987.74
RET000285,SAL096571,2018-11-07,Wrong Item,9090.81
RET000286,SAL000758,2020-12-08,Late Delivery,2429.51
RET000287,SAL071147,2020-03-24,Customer Changed Mind,9409.89
RET000288,SAL167035,2019-10-23,Wrong Item,5003.22
RET000289,SAL084187,2022-02-12,Wrong Item,3120.95
RET000290,SAL037469,2021-10-14,Wrong Item,347.28
RET000291,SAL053889,2023-02-09,Customer Changed Mind,5274.73
RET000292,SAL163196,2017-03-28,Customer Changed Mind,2047.25
RET000293,SAL097770,2023-11-28,Defective,913.8
RET000294,SAL050594,2023-01-17,Defective,531.74
RET000295,SAL037522,2020-09-23,Wrong Item,1477.0
RET000296,SAL063276,2018-07-25,Late Delivery,1488.99
RET000297,SAL190694,2017-12-24,Late Delivery,4207.21
RET000298,SAL017678,2020-03-23,Wrong Item,4569.85
RET000299,SAL174758,2019-09-26,Late Delivery,460.77
RET000300,SAL179025,2018-04-29,Wrong Item,2300.52
RET000301,SAL176716,2022-12-31,Defective,2957.37
RET000302,SAL199838,2023-06-17,Late Delivery,9343.36
RET000303,SAL077701,2018-12-07,Late Delivery,5778.43
RET000304,SAL159681,2022-03-01,Defective,3285.98
RET000305,SAL138568,2019-11-08,Late Delivery,322.87
RET000306,SAL012765,2023-10-05,Wrong Item,7041.92
RET000307,SAL001495,2021-05-07,Defective,6030.47
RET000308,SAL061067,2022-10-09,Defective,855.16
RET000309,SAL141782,2019-10-31,Defective,1934.52
RET000310,SAL193739,2021-05-26,Wrong Item,934.37
RET000311,SAL085165,2024-01-08,Wrong Item,2045.33
RET000312,SAL090904,2020-10-19,Customer Changed Mind,1195.38
RET000313,SAL148425,2019-05-08,Defective,2043.41
RET000314,SAL115544,2023-06-06,Late Delivery,7971.96
RET000315,SAL146032,2021-04-28,Late Delivery,1364.54
RET000316,SAL147453,2020-03-28,Defective,4398.45
RET000317,SAL191984,2021-05-29,Late Delivery,6341.84
RET000318,SAL099377,2021-12-25,Customer Changed Mind,3338.24
RET000319,SAL158147,2020-06-17,Wrong Item,669.08
RET000320,SAL062358,2018-07-12,Wrong Item,2260.81
RET000321,SAL091862,2021-02-03,Defective,2231.73
RET000322,SAL016534,2018-03-02,Late Delivery,2099.01
RET000323,SAL111525,2018-07-25,Wrong Item,1725.88
RET000324,SAL086483,2021-03-08,Customer Changed Mind,4453.6
RET000325,SAL097953,2020-06-26,Customer Changed Mind,1778.24
RET000326,SAL078786,2019-09-30,Late Delivery,3027.18
RET000327,SAL196316,2023-11-29,Defective,3599.07
RET000328,SAL059377,2023-06-01,Late Delivery,4132.92
RET000329,SAL123835,2021-11-22,Customer Changed Mind,8399.81
RET000330,SAL115915,2023-02-15,Wrong Item,1298.81
RET000331,SAL031987,2020-11-14,Wrong Item,1741.04
RET000332,SAL089360,2017-05-25,Late Delivery,3645.23
RET000333,SAL117515,2020-06-05,Wrong Item,9189.69
RET000334,SAL140431,2023-07-13,Defective,1827.87
RET000335,SAL098093,2023-10-26,Wrong Item,366.68
RET000336,SAL080395,2021-12-20,Late Delivery,720.24
RET000337,SAL136029,2021-01-22,Late Delivery,2602.36
RET000338,SAL156201,2017-03-30,Wrong Item,1452.16
RET000339,SAL135168,2023-07-26,Late Delivery,1480.29
RET000340,SAL092170,2020-10-26,Wrong Item,584.23
RET000341,SAL097688,2019-11-28,Late Delivery,3340.21
RET000342,SAL158000,2020-03-08,Customer Changed Mind,6559.52
RET000343,SAL159856,2020-08-01,Defective,1213.4
RET000344,SAL191755,2021-01-24,Customer Changed Mind,3054.41
RET000345,SAL122301,2023-08-10,Defective,512.06
RET000346,SAL185024,2017-06-08,Late Delivery,1652.43
RET000347,SAL055031,2018-01-27,Wrong Item,5032.2
RET000348,SAL068475,2019-09-09,Defective,1727.63
RET000349,SAL125973,2022-07-11,Defective,4711.05
RET000350,SAL097186,2018-07-24,Customer Changed Mind,4165.51
RET000351,SAL089719,2022-07-03,Late Delivery,1538.63
RET000352,SAL172653,2018-03-10,Customer Changed Mind,1442.77
RET000353,SAL135432,2021-09-05,Defective,457.29
RET000354,SAL110631,2017-07-09,Wrong Item,9592.9
RET000355,SAL102055,2023-11-01,Wrong Item,4866.12
RET000356,SAL151836,2022-10-12,Wrong Item,616.69
RET000357,SAL081644,2022-06-07,Late Delivery,6327.36
RET000358,SAL081506,2019-04-10,Defective,2139.3
RET000359,SAL017019,2022-08-26,Customer Changed Mind,4956.51
RET000360,SAL135993,2023-03-27,Customer Changed Mind,3064.53
RET000361,SAL159755,2022-12-27,Late Delivery,1018.28
RET000362,SAL114867,2021-02-17,Customer Changed Mind,7300.3
RET000363,SAL022444,2020-06-16,Late Delivery,554.96
RET000364,SAL193672,2018-03-15,Customer Changed Mind,5808.57
RET000365,SAL002907,2020-10-16,Late Delivery,992.05
RET000366,SAL029004,2024-09-03,Defective,1779.13
RET000367,SAL117307,2021-07-25,Defective,2074.52
RET000368,SAL151006,2021-05-07,Late Delivery,7044.03
RET000369,SAL084291,2018-08-18,Late Delivery,5100.3
RET000370,SAL079614,2019-01-29,Late Delivery,6942.39
RET000371,SAL189340,2023-09-08,Defective,6585.37
RET000372,SAL157927,2017-11-14,Late Delivery,1729.25
RET000373,SAL068575,2023-05-20,Late Delivery,527.71
RET000374,SAL073896,2018-07-31,Customer Changed Mind,2012.58
RET000375,SAL109788,2020-10-14,Customer Changed Mind,8732.05
RET000376,SAL188465,2023-03-13,Customer Changed Mind,2328.67
RET000377,SAL096425,2022-09-28,Customer Changed Mind,2290.85
RET000378,SAL118279,2017-04-30,Defective,987.85
RET000379,SAL141750,2023-04-01,Wrong Item,2767.39
RET000380,SAL045894,2021-08-13,Defective,2232.29
RET000381,SAL115018,2020-07-24,Defective,4376.19
RET000382,SAL015977,2020-10-28,Late Delivery,6837.69
RET000383,SAL025775,2022-03-09,Customer Changed Mind,8925.81
RET000384,SAL059372,2021-08-06,Customer Changed Mind,1292.93
RET000385,SAL009819,2018-04-27,Late Delivery,4946.44
RET000386,SAL114533,2017-10-16,Customer Changed Mind,6559.87
RET000387,SAL001643,2018-12-11,Wrong Item,984.47
RET000388,SAL048855,2021-07-22,Defective,596.77
RET000389,SAL009111,2018-06-24,Customer Changed Mind,508.2
RET000390,SAL128857,2023-04-03,Defective,3662.04
RET000391,SAL048796,2021-02-04,Defective,1357.1
RET000392,SAL068720,2022-11-19,Late Delivery,1031.09
RET000393,SAL036837,2020-02-23,Defective,2913.95
RET000394,SAL109934,2022-07-17,Wrong Item,4671.56
RET000395,SAL165919,2021-11-07,Customer Changed Mind,1915.2
RET000396,SAL150810,2022-07-25,Customer Changed Mind,87.29
RET000397,SAL068603,2018-09-29,Defective,4384.27
RET000398,SAL155990,2018-05-25,Late Delivery,7646.89
RET000399,SAL128641,2023-07-09,Customer Changed Mind,191.79
RET000400,SAL177258,2017-01-26,Defective,3432.57
RET000401,SAL075055,2021-08-31,Customer Changed Mind,9686.13
RET000402,SAL107435,2019-08-27,Wrong Item,697.52
RET000403,SAL098114,2021-11-02,Customer Changed Mind,1728.37
RET000404,SAL066730,2018-12-19,Late Delivery,4041.09
RET000405,SAL160435,2024-03-30,Late Delivery,451.45
RET000406,SAL140543,2018-09-07,Defective,1987.49
RET000407,SAL088660,2017-05-27,Customer Changed Mind,596.63
RET000408,SAL094756,2019-02-15,Wrong Item,4503.99
RET000409,SAL190068,2023-08-10,Customer Changed Mind,1426.37
RET000410,SAL058938,2024-08-29,Late Delivery,4885.61
RET000411,SAL097671,2024-02-19,Defective,3749.55
RET000412,SAL148588,2018-10-14,Wrong Item,1528.35
RET000413,SAL165014,2024-03-26,Wrong Item,1915.41
RET000414,SAL028881,2019-04-13,Wrong Item,14.22
RET000415,SAL128130,2022-07-19,Late Delivery,4103.12
RET000416,SAL089421,2024-12-27,Customer Changed Mind,485.05
RET000417,SAL050647,2018-12-18,Late Delivery,3207.61
RET000418,SAL170533,2020-06-10,Defective,6208.81
RET000419,SAL137328,2023-02-21,Wrong Item,4290.99
RET000420,SAL110789,2021-01-26,Wrong Item,4878.98
RET000421,SAL107033,2017-06-20,Late Delivery,2280.07
RET000422,SAL068749,2023-04-12,Customer Changed Mind,1024.5
RET000423,SAL117769,2024-07-08,Late Delivery,527.56
RET000424,SAL048807,2022-11-13,Late Delivery,3896.77
RET000425,SAL161527,2020-10-18,Late Delivery,3154.59
RET000426,SAL195411,2019-12-17,Wrong Item,6119.42
RET000427,SAL042436,2020-11-12,Late Delivery,4280.16
RET000428,SAL004926,2019-05-18,Wrong Item,2346.7
RET000429,SAL158282,2021-06-19,Wrong Item,788.35
RET000430,SAL115847,2019-09-08,Defective,4022.93
RET000431,SAL010747,2022-02-27,Late Delivery,1729.48
RET000432,SAL019439,2017-02-04,Wrong Item,1088.22
RET000433,SAL184540,2020-10-07,Wrong Item,2798.4
RET000434,SAL132830,2018-09-01,Wrong Item,4155.63
RET000435,SAL167668,2020-01-10,Late Delivery,3452.37
RET000436,SAL139321,2020-08-07,Late Delivery,1027.7
RET000437,SAL163433,2021-02-28,Defective,713.23
RET000438,SAL124613,2020-04-25,Late Delivery,1357.45
RET000439,SAL080563,2018-02-05,Customer Changed Mind,1843.07
RET000440,SAL117737,2021-04-14,Late Delivery,5395.92
RET000441,SAL180845,2018-06-18,Late Delivery,1996.91
RET000442,SAL103192,2023-11-02,Late Delivery,485.95
RET000443,SAL081581,2018-08-21,Late Delivery,5071.53
RET000444,SAL162250,2024-11-29,Late Delivery,1022.85
RET000445,SAL010885,2018-12-27,Late Delivery,2358.72
RET000446,SAL022556,2018-11-09,Defective,1564.93
RET000447,SAL193048,2024-02-09,Defective,4004.41
RET000448,SAL152277,2022-04-03,Wrong Item,5181.39
RET000449,SAL100264,2020-07-12,Wrong Item,3323.39
RET000450,SAL146843,2018-08-14,Wrong Item,1839.43
RET000451,SAL173083,2019-08-27,Late Delivery,3623.57
RET000452,SAL073191,2023-09-09,Defective,1067.89
RET000453,SAL140017,2020-11-07,Late Delivery,2189.51
RET000454,SAL091654,2020-05-24,Customer Changed Mind,1706.89
RET000455,SAL150486,2020-12-24,Late Delivery,3310.4
RET000456,SAL142247,2020-06-18,Late Delivery,8289.19
RET000457,SAL011547,2022-03-23,Late Delivery,245.25
RET000458,SAL083556,2018-06-05,Defective,3546.29
RET000459,SAL113173,2019-09-08,Customer Changed Mind,5937.92
RET000460,SAL160973,2019-01-12,Customer Changed Mind,1835.21
RET000461,SAL118505,2018-06-24,Customer Changed Mind,67.05
RET000462,SAL084980,2018-09-16,Wrong Item,3619.01
RET000463,SAL067318,2018-07-21,Late Delivery,1205.38
RET000464,SAL012550,2022-01-18,Defective,6739.85
RET000465,SAL128683,2021-10-09,Wrong Item,4229.64
RET000466,SAL047397,2019-05-03,Defective,496.92
RET000467,SAL106708,2020-06-27,Late Delivery,3132.87
RET000468,SAL058407,2017-02-11,Late Delivery,1658.93
